2022-04-10 23:55:59+00:00,1513304817778708480,WarriorP (ワリオル),"RT @GenshinImpact: March Birthday Party

With flowers and dreams in sight,
let's continue our journey together under a warm breeze.

#Gensh…"
2022-04-10 23:55:57+00:00,1513304810686140417,Shogan,"RT @Woeden_: @GenshinImpact He said if you guys offer an Ad Stream with twitch drops and giveaways for the viewers, he would accept and pla…"
2022-04-10 23:53:44+00:00,1513304252835315717,MakaWaka,"RT @GenshinImpact: Traveler, welcome back to Watatsumi Island.
Since early this morning, everyone has been sending me birthday wishes.
But…"
2022-04-10 23:53:29+00:00,1513304190633848839,sica,"RT @__orbitchuu: Dreamcatcher x Genshin (Part 1)

Song: Don’t Light My Fire — #Dreamcatcher

Dreamcatcher’s songs are made for Action RPGs!…"
2022-04-10 23:53:29+00:00,1513304190432563205,MakaWaka,"RT @GenshinImpact: Have you tried Cocoa Paste? It's sweet and rich, and you can make a sweet called chocolate with it.

So this time, I tri…"
2022-04-10 23:53:25+00:00,1513304175781855232,MakaWaka,"RT @GenshinImpact: At this time of the year, all things spring back to life. It is worthwhile to stop for a moment to admire the surroundin…"
2022-04-10 23:53:22+00:00,1513304161185681420,MakaWaka,"RT @GenshinImpact: I have heard that by adding wine to desserts, not only can the wine retain its mellow flavor, but the alcohol content ca…"
2022-04-10 23:52:33+00:00,1513303956751069189,MakaWaka,"RT @GenshinImpact: Yelan ‧ Valley Orchid
A mysterious person who claims to work for the Ministry of Civil Affairs

Yelan's identity has alw…"
2022-04-10 23:52:25+00:00,1513303921841823750,MakaWaka,"RT @GenshinImpact: I am writing to introduce a talented person to you.  — Kujou Sara

◆ Kuki Shinobu
◆ Mender of Tribulations
◆ Deputy Lead…"
2022-04-10 23:50:02+00:00,1513303322823782402,꧁☣ ʂɛ℘ɬɛɱ ℘ơཞɬąɛ ☣꧂,"RT @__orbitchuu: Dreamcatcher x Genshin (Part 1)

Song: Don’t Light My Fire — #Dreamcatcher

Dreamcatcher’s songs are made for Action RPGs!…"
2022-04-10 23:49:46+00:00,1513303256046350338,⚔️Seele⚔️,@kimafuma @GenshinImpact Well idk the time genesis crystals reset so I hope that resets soon
2022-04-10 23:47:00+00:00,1513302559527628803,JustARobloxArtist👀,"@GenshinImpact hot, hot, hot, a mommy"
